key,value
SDGS.1.TARGETS.5.INDICATORS.1.SUBINDICATORS.4.VALUES.1.UNIT,personas
SDGS.1.TARGETS.5.INDICATORS.1.SUBINDICATORS.4.VALUES.2.TITLE,Población
SDGS.1.TARGETS.5.INDICATORS.1.SUBINDICATORS.4.VALUES.2.UNIT,personas
SDGS.1.TARGETS.5.INDICATORS.1.SUBINDICATORS.5.TITLE,Refugios no gratuitos y no accesibles
SDGS.1.TARGETS.5.INDICATORS.1.SUBINDICATORS.5.VALUES.1.TITLE,Refugios
SDGS.1.TARGETS.5.INDICATORS.1.SUBINDICATORS.5.VALUES.1.UNIT,personas
SDGS.1.TARGETS.5.INDICATORS.1.SUBINDICATORS.5.VALUES.2.TITLE,Población
SDGS.1.TARGETS.5.INDICATORS.1.SUBINDICATORS.5.VALUES.2.UNIT,personas
SDGS.1.TARGETS.5.INDICATORS.1.SUBINDICATORS.6.TITLE,Refugios gratuitos y NA accesibles
SDGS.1.TARGETS.5.INDICATORS.1.SUBINDICATORS.6.VALUES.1.TITLE,Refugios
SDGS.1.TARGETS.5.INDICATORS.1.SUBINDICATORS.6.VALUES.1.UNIT,personas
SDGS.1.TARGETS.5.INDICATORS.1.SUBINDICATORS.6.VALUES.2.TITLE,Población
SDGS.1.TARGETS.5.INDICATORS.1.SUBINDICATORS.6.VALUES.2.UNIT,personas
SDGS.1.TARGETS.5.INDICATORS.1.SOURCE,"- [Refugios climáticos.](https://analisi.transparenciacatalunya.cat/Seguretat/Refugis-clim-tics-dels-municipis-de-Catalunya/9gu7-iwci/about_data) (Dades Obertes de Catalunya)
- [Datos históricos de población de los municipios de Catalunya.](https://analisi.transparenciacatalunya.cat/Sector-P-blic/Dades-hist-riques-de-poblaci-dels-municipis-de-Cat/x5sz-niat/about_data) (Dades Obertes de Catalunya)"
SDGS.2.TITLE,Hambre cero
SDGS.2.DESCRIPTION,"Poner fin al hambre, lograr la seguridad alimentaria y mejorar la nutrición, y promover la agricultura sostenible"
SDGS.2.TARGETS.1.DESCRIPTION,"Garantizar el acceso a alimentos seguros, nutritivos y suficientes, especialmente para la población en situación de vulnerabilidad alimentaria, fomentando una agricultura sostenible, de proximidad y resiliente al cambio climático y a los fenómenos meteorológicos extremos"
SDGS.2.TARGETS.1.INDICATORS.1.TITLE,% Superficie agrícola ecológica
SDGS.2.TARGETS.1.INDICATORS.1.DESCRIPTION,% Superficie agrícola ecológica
SDGS.2.TARGETS.1.INDICATORS.1.UNIT,%
SDGS.2.TARGETS.1.INDICATORS.1.VALUES.1.TITLE,Superficie con certificado ecológico
SDGS.2.TARGETS.1.INDICATORS.1.VALUES.1.UNIT,ha
SDGS.2.TARGETS.1.INDICATORS.1.VALUES.2.TITLE,Superficie destinada al cultivo
SDGS.2.TARGETS.1.INDICATORS.1.VALUES.2.UNIT,ha
SDGS.2.TARGETS.1.INDICATORS.1.SOURCE,- [Datos de parcelas de explotaciones (DUN) de Catalunya](https://analisi.transparenciacatalunya.cat/Medi-Rural-Pesca/Dades-de-parcel-les-d-explotacions-DUN-de-Cataluny/si4p-ygat/about_data) (Dades Obertes de Catalunya)
SDGS.2.TARGETS.3.DESCRIPTION,Fomentar la productividad agrícola y los ingresos de las personas que se dedican a la producción de alimentos a pequeña escala.
SDGS.2.TARGETS.3.INDICATORS.1.TITLE,Tierras agrícolas por 100 hab.
SDGS.2.TARGETS.3.INDICATORS.1.DESCRIPTION,Superficie total destinada al cultivo (alimentos y forrajes) respecto al número de habitantes (hectáreas/100 habitantes)
SDGS.2.TARGETS.3.INDICATORS.1.UNIT,ha/100 hab.
SDGS.2.TARGETS.3.INDICATORS.1.VALUES.1.TITLE,Superficie destinada al cultivo
SDGS.2.TARGETS.3.INDICATORS.1.VALUES.1.UNIT,ha
SDGS.2.TARGETS.3.INDICATORS.1.VALUES.2.TITLE,Total población
SDGS.2.TARGETS.3.INDICATORS.1.VALUES.2.UNIT,personas
SDGS.2.TARGETS.3.INDICATORS.1.SOURCE,"- [Datos de parcelas de explotaciones (DUN) de Catalunya.
](https://analisi.transparenciacatalunya.cat/Medi-Rural-Pesca/Dades-de-parcel-les-d-explotacions-DUN-de-Cataluny/si4p-ygat/about_data) (Dades Obertes de Catalunya)
- [Población. Por sexo](hhttps://www.idescat.cat/pub/?id=censph&n=538&hist=taules%2Fv2%2Fcensph%2F538%2F565%2Fmun%2Fdata%3F_LAST_%3D3%5Ec%3D2%2Fr%3D1%2Ft%3D-1c%3B0d%2C2%3B-2c%2Fe%3D01) (IDESCAT)"
SDGS.2.TARGETS.3.INDICATORS.2.TITLE,Paro en agricultura
SDGS.2.TARGETS.3.INDICATORS.2.DESCRIPTION,Paro en agricultura respecto al paro total
SDGS.2.TARGETS.3.INDICATORS.2.UNIT,%
SDGS.2.TARGETS.3.INDICATORS.2.VALUES.1.TITLE,Promedio anual de paro registrado en agricultura
SDGS.2.TARGETS.3.INDICATORS.2.VALUES.1.UNIT,personas
SDGS.2.TARGETS.3.INDICATORS.2.VALUES.2.TITLE,Promedio anual de paro total
SDGS.2.TARGETS.3.INDICATORS.2.VALUES.2.UNIT,personas
SDGS.2.TARGETS.3.INDICATORS.2.SOURCE,- [Paro registrado. Por sectores. Promedios anuales](https://www.idescat.cat/pub/?id=atureg&n=4302&geo=cat) (IDESCAT)
SDGS.2.TARGETS.3.INDICATORS.3.TITLE,% Hectáreas de explotaciones de pequeña escala
SDGS.2.TARGETS.3.INDICATORS.3.DESCRIPTION,% Hectáreas de explotaciones de pequeña escala
SDGS.2.TARGETS.3.INDICATORS.3.UNIT,%
SDGS.2.TARGETS.3.INDICATORS.3.VALUES.1.TITLE,Hectáreas de explotaciones de pequeña escala
SDGS.2.TARGETS.3.INDICATORS.3.VALUES.1.UNIT,ha
SDGS.2.TARGETS.3.INDICATORS.3.VALUES.2.TITLE,Total de hectáreas de explotaciones
SDGS.2.TARGETS.3.INDICATORS.3.VALUES.2.UNIT,ha
SDGS.2.TARGETS.3.INDICATORS.3.SUBINDICATORS.0.TITLE,% Hectáreas de explotaciones de pequeña escala
SDGS.2.TARGETS.3.INDICATORS.3.SUBINDICATORS.0.VALUES.1.TITLE,Hectáreas de explotaciones de pequeña escala
SDGS.2.TARGETS.3.INDICATORS.3.SUBINDICATORS.0.VALUES.1.UNIT,ha
SDGS.2.TARGETS.3.INDICATORS.3.SUBINDICATORS.0.VALUES.2.TITLE,Total de hectáreas de explotaciones
SDGS.2.TARGETS.3.INDICATORS.3.SUBINDICATORS.0.VALUES.2.UNIT,ha
SDGS.2.TARGETS.3.INDICATORS.3.SUBINDICATORS.2.TITLE,% Explotaciones de pequeña escala
SDGS.2.TARGETS.3.INDICATORS.3.SUBINDICATORS.2.VALUES.1.TITLE,Explotaciones de pequeña escala
SDGS.2.TARGETS.3.INDICATORS.3.SUBINDICATORS.2.VALUES.1.UNIT,explotaciones
SDGS.2.TARGETS.3.INDICATORS.3.SUBINDICATORS.2.VALUES.2.TITLE,Total de explotaciones
SDGS.2.TARGETS.3.INDICATORS.3.SUBINDICATORS.2.VALUES.2.UNIT,explotaciones
SDGS.2.TARGETS.3.INDICATORS.3.SOURCE,"- [Censo agrario. Tamaño de las explotaciones por superficie total (2020)](https://www.idescat.cat/pub/?id=censag&n=16090) (IDESCAT)
- [Censo agrario. Tamaño de las explotaciones por superficie total (2009)](https://www.idescat.cat/pub/?id=censag&n=5099) (IDESCAT)
- [Censo agrario. Dimensión de las explotaciones según la superficie total (1982–1999)](https://www.idescat.cat/pub/?id=censag&n=5099) (IDESCAT)"
SDGS.2.TARGETS.3.INDICATORS.4.TITLE,% de explotaciones de pequeña escala
SDGS.2.TARGETS.3.INDICATORS.4.DESCRIPTION,% de explotaciones de pequeña escala
SDGS.2.TARGETS.3.INDICATORS.4.UNIT,%
SDGS.2.TARGETS.3.INDICATORS.4.VALUES.1.TITLE,Explotaciones de pequeña escala
SDGS.2.TARGETS.3.INDICATORS.4.VALUES.1.UNIT,explotaciones
SDGS.2.TARGETS.3.INDICATORS.4.VALUES.2.TITLE,Total de explotaciones
SDGS.2.TARGETS.3.INDICATORS.4.VALUES.2.UNIT,explotaciones
SDGS.2.TARGETS.3.INDICATORS.4.SOURCE,"- [Censo agrario. Tamaño de las explotaciones por superficie total (2020)](https://www.idescat.cat/pub/?id=censag&n=16090) (IDESCAT)
- [Censo agrario. Tamaño de las explotaciones por superficie total (2009)](https://www.idescat.cat/pub/?id=censag&n=5099) (IDESCAT)
- [Censo agrario. Dimensión de las explotaciones según la superficie total(1982–1999)](https://www.idescat.cat/pub/?id=censag&n=5099) (IDESCAT)"
SDGS.2.TARGETS.4.DESCRIPTION,Nombre de hito no disponible
SDGS.2.TARGETS.5.DESCRIPTION,"Mantener la diversidad genética de las semillas, de los cultivos y de los animales de granja y domesticados, así como de las especies silvestres relacionadas."
SDGS.3.TITLE,Salud y bienestar
SDGS.3.DESCRIPTION,Garantizar una vida sana y promover el bienestar para todas las personas en todas las edades.
SDGS.3.TARGETS.3.DESCRIPTION,Nombre de hito no disponible
SDGS.3.TARGETS.4.DESCRIPTION,Incrementar los programas de promoción de hábitos saludables para reducir el riesgo de enfermedades no transmisibles y promover la salud mental y el bienestar.
SDGS.3.TARGETS.4.INDICATORS.1.TITLE,Índice de Sobreenvejecimiento
SDGS.3.TARGETS.4.INDICATORS.1.DESCRIPTION,Relación entre la población de 85 años y más con la población de 65 y más.
SDGS.3.TARGETS.4.INDICATORS.1.UNIT,%
SDGS.3.TARGETS.4.INDICATORS.1.VALUES.1.TITLE,Población de 85 años y más
SDGS.3.TARGETS.4.INDICATORS.1.VALUES.1.UNIT,personas
SDGS.3.TARGETS.4.INDICATORS.1.VALUES.2.TITLE,Población de 65 años y más
SDGS.3.TARGETS.4.INDICATORS.1.VALUES.2.UNIT,personas
SDGS.3.TARGETS.4.INDICATORS.1.SOURCE,"- [Población. Por sexo y edad quinquenal (2023–)](https://www.idescat.cat/pub/?id=censph&n=539&hist=taules%2Fv2%2Fcensph%2F539%2F5976%2Fmun%2Fdata%3FAGE%3DTOTAL%26_LAST_%3D3%5Ec%3D3%2Fr%3D1%2Ft%3D-1c%3B0d%2C2%3B2%2C0%3B-3c%2Fe%3D0) (IDESCAT)
- [Población a 1 de enero. Por sexo y edad año a año (2014–2022)](https://www.idescat.cat/pub/?id=pmh&n=1180&hist=taules%2Fv2%2Fpmh%2F1180%2F8078%2Fmun%2Fdata%3FAGE%3DTOTAL%26_LAST_%3D3%5Ec%3D3%2Fr%3D1%2Ft%3D-1c%3B0d%2C2%3B2%2C0%3B-3c%2Fe%3D0) (IDESCAT)
- [oblación a 1 de enero. Por sexo y edad año a año (2000–2013)](https://www.idescat.cat/pub/?id=pmh&n=1180&hist=taules%2Fv2%2Fpmh%2F1180%2F1063%2Fmun%2Fdata%3FMUN%3DTOTAL%5Ec%3D3%2Fr%3D2%2Ft%3D1%2C0%3B0d%2C13%3B-2c%3B-3c%2Fe%3D0) (IDESCAT)"
SDGS.3.TARGETS.4.INDICATORS.2.TITLE,Edad media de defunciones
SDGS.3.TARGETS.4.INDICATORS.2.DESCRIPTION,Edad media de defunciones
SDGS.3.TARGETS.4.INDICATORS.2.UNIT,años
SDGS.3.TARGETS.4.INDICATORS.2.VALUES.1.TITLE,
SDGS.3.TARGETS.4.INDICATORS.2.VALUES.1.UNIT,años
SDGS.3.TARGETS.4.INDICATORS.2.VALUES.2.TITLE,
SDGS.3.TARGETS.4.INDICATORS.2.VALUES.2.UNIT,
SDGS.3.TARGETS.4.INDICATORS.2.SOURCE,"- [Defunciones según sexo y edad](https://www.idescat.cat/pub/?id=def&n=269) (IDESCAT)

Se dispone de pocos datos de municipios. Para aquellos municipios sin datos, se utiliza el valor de la comarca como valor indicativo del municipio."
SDGS.3.TARGETS.5.DESCRIPTION,"Reforzar la prevención y el tratamiento del abuso de sustancias adictivas, incluido el uso indebido de estupefacientes y el consumo nocivo de alcohol."
SDGS.3.TARGETS.6.DESCRIPTION,Reducir a la mitad el número de muertes y lesiones causadas por accidentes de tráfico.
SDGS.3.TARGETS.6.INDICATORS.1.TITLE,Tasa de mortalidad de tráfico
SDGS.3.TARGETS.6.INDICATORS.1.DESCRIPTION,personas muertas o heridas graves en accidentes de tráfico por cada 10.000 habitantes.
SDGS.3.TARGETS.6.INDICATORS.1.UNIT,personas/10.000 hab.
SDGS.3.TARGETS.6.INDICATORS.1.VALUES.1.TITLE,Número de muertes y heridos graves
SDGS.3.TARGETS.6.INDICATORS.1.VALUES.1.UNIT,personas
SDGS.3.TARGETS.6.INDICATORS.1.VALUES.2.TITLE,Población total
SDGS.3.TARGETS.6.INDICATORS.1.VALUES.2.UNIT,personas
SDGS.3.TARGETS.6.INDICATORS.1.SOURCE,"- [Accidentes de tráfico con muertes o heridos graves en Catalunya](https://analisi.transparenciacatalunya.cat/Transport/Accidents-de-tr-nsit-amb-morts-o-ferits-greus-a-Ca/rmgc-ncpb/about_data) (Dades Obertes de Catalunya)
- [Datos históricos de población de los municipios de Catalunya](https://analisi.transparenciacatalunya.cat/Sector-P-blic/Dades-hist-riques-de-poblaci-dels-municipis-de-Cat/x5sz-niat/about_data) (Dades Obertes de Catalunya)"
SDGS.3.TARGETS.7.DESCRIPTION,Impulsar medidas para garantizar el acceso universal a los servicios de salud sexual y reproductiva.
SDGS.3.TARGETS.8.DESCRIPTION,Nombre de hito no disponible
